image_url_1,choice_1_1,choice_1_2,choice_1_3,choice_1_4,image_url_2,choice_2_1,choice_2_2,choice_2_3,choice_2_4,image_url_3,choice_3_1,choice_3_2,choice_3_3,choice_3_4,image_url_4,choice_4_1,choice_4_2,choice_4_3,choice_4_4,image_url_5,choice_5_1,choice_5_2,choice_5_3,choice_5_4,image_url_6,choice_6_1,choice_6_2,choice_6_3,choice_6_4,image_url_7,choice_7_1,choice_7_2,choice_7_3,choice_7_4,image_url_8,choice_8_1,choice_8_2,choice_8_3,choice_8_4,image_url_9,choice_9_1,choice_9_2,choice_9_3,choice_9_4,image_url_10,choice_10_1,choice_10_2,choice_10_3,choice_10_4
train/n02963159/images/n02963159_285.JPEG,pizza,alp,oboe,torch,train/n04133789/images/n04133789_390.JPEG,torch,cardigan,kimono,sandal,train/n04456115/images/n04456115_424.JPEG,sandal,sulphur butterfly,kimono,oboe,train/n02769748/images/n02769748_220.JPEG,oboe,kimono,backpack,sulphur butterfly,train/n02963159/images/n02963159_56.JPEG,backpack,kimono,oboe,sandal,train/n03706229/images/n03706229_1.JPEG,backpack,torch,oboe,sandal,train/n02963159/images/n02963159_203.JPEG,sulphur butterfly,cardigan,alp,torch,train/n03838899/images/n03838899_174.JPEG,magnetic compass,pizza,sandal,alp,train/n02963159/images/n02963159_367.JPEG,alp,sulphur butterfly,oboe,kimono,train/n03706229/images/n03706229_447.JPEG,kimono,cardigan,pizza,magnetic compass
train/n02963159/images/n02963159_374.JPEG,kimono,oboe,sulphur butterfly,torch,train/n03838899/images/n03838899_225.JPEG,alp,oboe,torch,sandal,train/n02281406/images/n02281406_76.JPEG,kimono,oboe,torch,magnetic compass,train/n02769748/images/n02769748_107.JPEG,torch,sandal,pizza,kimono,train/n04133789/images/n04133789_441.JPEG,torch,sandal,oboe,sulphur butterfly,train/n02281406/images/n02281406_10.JPEG,oboe,sulphur butterfly,kimono,backpack,train/n07873807/images/n07873807_53.JPEG,magnetic compass,backpack,kimono,cardigan,train/n09193705/images/n09193705_185.JPEG,torch,sulphur butterfly,kimono,magnetic compass,train/n03706229/images/n03706229_460.JPEG,sandal,magnetic compass,kimono,alp,train/n04456115/images/n04456115_122.JPEG,torch,kimono,backpack,sulphur butterfly
train/n03838899/images/n03838899_60.JPEG,sandal,backpack,torch,magnetic compass,train/n02963159/images/n02963159_370.JPEG,alp,sandal,oboe,pizza,train/n03706229/images/n03706229_107.JPEG,alp,sulphur butterfly,kimono,cardigan,train/n09193705/images/n09193705_394.JPEG,magnetic compass,alp,pizza,sandal,train/n07873807/images/n07873807_101.JPEG,cardigan,sandal,magnetic compass,backpack,train/n03617480/images/n03617480_486.JPEG,backpack,sandal,alp,torch,train/n03617480/images/n03617480_141.JPEG,sulphur butterfly,alp,backpack,oboe,train/n09193705/images/n09193705_86.JPEG,sandal,torch,pizza,backpack,train/n07873807/images/n07873807_113.JPEG,oboe,kimono,torch,pizza,train/n03706229/images/n03706229_21.JPEG,oboe,pizza,alp,magnetic compass
train/n02769748/images/n02769748_240.JPEG,alp,sulphur butterfly,cardigan,torch,train/n03838899/images/n03838899_447.JPEG,cardigan,oboe,magnetic compass,torch,train/n03838899/images/n03838899_486.JPEG,magnetic compass,alp,pizza,torch,train/n09193705/images/n09193705_6.JPEG,torch,cardigan,pizza,kimono,train/n09193705/images/n09193705_371.JPEG,sandal,oboe,kimono,backpack,train/n02281406/images/n02281406_18.JPEG,cardigan,alp,kimono,pizza,train/n04456115/images/n04456115_429.JPEG,sandal,backpack,kimono,alp,train/n07873807/images/n07873807_179.JPEG,sandal,cardigan,kimono,torch,train/n03706229/images/n03706229_448.JPEG,cardigan,pizza,oboe,backpack,train/n04456115/images/n04456115_211.JPEG,magnetic compass,backpack,pizza,cardigan
train/n04133789/images/n04133789_291.JPEG,kimono,backpack,sulphur butterfly,pizza,train/n03838899/images/n03838899_113.JPEG,oboe,alp,pizza,backpack,train/n03617480/images/n03617480_350.JPEG,alp,sandal,sulphur butterfly,oboe,train/n03838899/images/n03838899_207.JPEG,oboe,backpack,sulphur butterfly,pizza,train/n09193705/images/n09193705_340.JPEG,alp,sandal,backpack,pizza,train/n04133789/images/n04133789_415.JPEG,oboe,cardigan,sandal,backpack,train/n02769748/images/n02769748_64.JPEG,cardigan,kimono,torch,alp,train/n02769748/images/n02769748_143.JPEG,alp,backpack,pizza,torch,train/n02281406/images/n02281406_51.JPEG,kimono,backpack,oboe,magnetic compass,train/n02963159/images/n02963159_361.JPEG,cardigan,sandal,sulphur butterfly,pizza
train/n03838899/images/n03838899_418.JPEG,kimono,cardigan,sulphur butterfly,pizza,train/n03838899/images/n03838899_98.JPEG,sulphur butterfly,kimono,alp,sandal,train/n09193705/images/n09193705_397.JPEG,alp,sulphur butterfly,cardigan,kimono,train/n02769748/images/n02769748_213.JPEG,oboe,pizza,cardigan,kimono,train/n04133789/images/n04133789_223.JPEG,cardigan,torch,backpack,sulphur butterfly,train/n09193705/images/n09193705_206.JPEG,pizza,alp,kimono,cardigan,train/n07873807/images/n07873807_58.JPEG,sulphur butterfly,kimono,pizza,magnetic compass,train/n04133789/images/n04133789_337.JPEG,sandal,torch,alp,oboe,train/n02963159/images/n02963159_132.JPEG,kimono,pizza,sulphur butterfly,sandal,train/n04133789/images/n04133789_22.JPEG,sulphur butterfly,alp,cardigan,pizza
train/n03706229/images/n03706229_456.JPEG,backpack,oboe,sandal,alp,train/n02281406/images/n02281406_292.JPEG,backpack,magnetic compass,alp,torch,train/n07873807/images/n07873807_467.JPEG,alp,sulphur butterfly,oboe,kimono,train/n03617480/images/n03617480_145.JPEG,torch,sandal,cardigan,magnetic compass,train/n03617480/images/n03617480_336.JPEG,backpack,oboe,sulphur butterfly,sandal,train/n09193705/images/n09193705_104.JPEG,kimono,magnetic compass,pizza,oboe,train/n04133789/images/n04133789_55.JPEG,torch,alp,kimono,sulphur butterfly,train/n04456115/images/n04456115_195.JPEG,sandal,sulphur butterfly,backpack,alp,train/n03617480/images/n03617480_118.JPEG,backpack,kimono,sandal,cardigan,train/n02769748/images/n02769748_470.JPEG,alp,torch,cardigan,pizza
train/n03838899/images/n03838899_304.JPEG,backpack,oboe,alp,magnetic compass,train/n09193705/images/n09193705_398.JPEG,sandal,cardigan,backpack,kimono,train/n04456115/images/n04456115_283.JPEG,oboe,torch,cardigan,kimono,train/n04133789/images/n04133789_254.JPEG,cardigan,torch,kimono,magnetic compass,train/n02769748/images/n02769748_0.JPEG,oboe,alp,torch,sulphur butterfly,train/n02963159/images/n02963159_445.JPEG,torch,alp,cardigan,magnetic compass,train/n03617480/images/n03617480_86.JPEG,sulphur butterfly,magnetic compass,torch,backpack,train/n07873807/images/n07873807_283.JPEG,alp,torch,cardigan,magnetic compass,train/n04456115/images/n04456115_48.JPEG,sulphur butterfly,oboe,kimono,backpack,train/n04456115/images/n04456115_13.JPEG,oboe,kimono,torch,sulphur butterfly
train/n07873807/images/n07873807_244.JPEG,kimono,torch,cardigan,magnetic compass,train/n02963159/images/n02963159_368.JPEG,oboe,torch,alp,magnetic compass,train/n04133789/images/n04133789_267.JPEG,alp,pizza,backpack,sandal,train/n03617480/images/n03617480_333.JPEG,magnetic compass,sulphur butterfly,kimono,torch,train/n03617480/images/n03617480_100.JPEG,backpack,sulphur butterfly,torch,pizza,train/n07873807/images/n07873807_78.JPEG,kimono,sulphur butterfly,backpack,sandal,train/n03706229/images/n03706229_101.JPEG,sandal,torch,kimono,sulphur butterfly,train/n03838899/images/n03838899_237.JPEG,sandal,backpack,torch,sulphur butterfly,train/n02769748/images/n02769748_98.JPEG,torch,backpack,pizza,sandal,train/n07873807/images/n07873807_402.JPEG,oboe,pizza,alp,torch
train/n09193705/images/n09193705_38.JPEG,cardigan,magnetic compass,sandal,sulphur butterfly,train/n03706229/images/n03706229_244.JPEG,cardigan,sulphur butterfly,alp,kimono,train/n02281406/images/n02281406_318.JPEG,alp,pizza,cardigan,sandal,train/n02769748/images/n02769748_210.JPEG,magnetic compass,kimono,oboe,pizza,train/n03838899/images/n03838899_162.JPEG,alp,sandal,sulphur butterfly,backpack,train/n02963159/images/n02963159_395.JPEG,pizza,cardigan,backpack,magnetic compass,train/n04133789/images/n04133789_72.JPEG,torch,magnetic compass,kimono,alp,train/n03838899/images/n03838899_235.JPEG,cardigan,sandal,oboe,magnetic compass,train/n02281406/images/n02281406_275.JPEG,magnetic compass,torch,pizza,cardigan,train/n02769748/images/n02769748_353.JPEG,oboe,alp,sandal,kimono
