leptodactylus_pentadactylus_s_000004.png,ship,automobile,truck,truck,airplane,truck,airplane,bird,ship
camion_s_000148.png,dog,dog,frog,frog,deer,cat,horse,airplane,frog
tipper_truck_s_001250.png,airplane,cat,dog,dog,deer,ship,deer,cat,ship
american_elk_s_001521.png,ship,airplane,ship,ship,frog,ship,airplane,frog,truck
station_wagon_s_000293.png,ship,frog,cat,frog,dog,dog,ship,frog,horse
coupe_s_001735.png,cat,bird,airplane,frog,ship,ship,airplane,horse,truck
cassowary_s_001300.png,truck,truck,automobile,dog,airplane,truck,frog,ship,truck
cow_pony_s_001168.png,dog,bird,automobile,deer,airplane,cat,automobile,truck,airplane
sea_boat_s_001584.png,dog,truck,frog,bird,horse,frog,truck,deer,horse
tabby_s_001355.png,deer,truck,airplane,ship,truck,frog,automobile,frog,airplane
muntjac_s_001000.png,ship,airplane,frog,frog,ship,ship,ship,truck,automobile
arabian_s_001354.png,bird,automobile,automobile,frog,ship,frog,airplane,truck,truck
quarter_horse_s_000672.png,truck,frog,airplane,automobile,ship,ship,cat,truck,automobile
passerine_s_000343.png,ship,deer,deer,horse,truck,automobile,horse,truck,deer
camion_s_001895.png,bird,deer,cat,dog,bird,cat,frog,ship,frog
trailer_truck_s_000335.png,deer,deer,bird,bird,dog,deer,bird,frog,ship
dumper_s_000821.png,ship,ship,bird,frog,frog,deer,airplane,horse,cat
alley_cat_s_000200.png,airplane,truck,airplane,truck,truck,airplane,truck,truck,automobile
accentor_s_000677.png,frog,frog,automobile,automobile,truck,cat,cat,ship,truck
frog_s_001671.png,airplane,cat,horse,deer,truck,deer,horse,ship,horse
capreolus_capreolus_s_000051.png,frog,truck,airplane,automobile,frog,automobile,automobile,ship,truck
tomcat_s_000772.png,truck,frog,frog,airplane,truck,deer,truck,frog,horse
pickerel_frog_s_000446.png,automobile,airplane,ship,airplane,horse,automobile,automobile,truck,truck
bufo_s_001242.png,automobile,ship,ship,truck,ship,ship,automobile,ship,ship
cassowary_s_001246.png,ship,dog,deer,deer,automobile,horse,dog,deer,truck
toad_s_001748.png,cat,truck,truck,deer,dog,truck,bird,automobile,bird
cat_s_000081.png,horse,horse,deer,airplane,airplane,deer,ship,ship,truck
chihuahua_s_000825.png,frog,ship,truck,airplane,automobile,ship,frog,ship,horse
alces_alces_s_000959.png,frog,cat,truck,frog,ship,airplane,ship,airplane,bird
stealth_bomber_s_000554.png,deer,frog,frog,frog,frog,deer,horse,dog,bird
twinjet_s_000663.png,frog,bird,cat,horse,frog,frog,horse,cat,deer
trucking_rig_s_001402.png,frog,cat,deer,deer,bird,bird,frog,horse,deer
auto_s_000609.png,bird,cat,horse,horse,deer,dog,dog,horse,dog
