n01644900_0.JPEG,bannister,gazelle,tractor
n01644900_1.JPEG,tractor,bannister,barrel
n01644900_10.JPEG,hourglass,tractor,torch
n01644900_100.JPEG,ipod,scoreboard,chimpanzee
n01644900_101.JPEG,chimpanzee,suspension bridge,hourglass
n01644900_102.JPEG,hourglass,christmas stocking,ipod
n01644900_103.JPEG,gazelle,barrel,gazelle
n01644900_104.JPEG,ipod,torch,hourglass
n01644900_105.JPEG,barrel,bannister,tabby
n01644900_106.JPEG,suspension bridge,christmas stocking,tractor
n01644900_107.JPEG,ipod,hourglass,chimpanzee
n01644900_108.JPEG,tabby,triumphal arch,barrel
n01644900_109.JPEG,scorpion,barrel,chimpanzee
n01644900_11.JPEG,ipod,tractor,barrel
n01644900_110.JPEG,ipod,suspension bridge,tractor
n01644900_111.JPEG,hourglass,torch,gazelle
n01644900_112.JPEG,tabby,ipod,barrel
n01644900_113.JPEG,gazelle,ipod,chimpanzee
n01644900_114.JPEG,ipod,persian cat,chimpanzee
n01644900_115.JPEG,tabby,suspension bridge,hourglass
n01644900_116.JPEG,scorpion,snorkel,bannister
n01644900_117.JPEG,christmas stocking,triumphal arch,gazelle
n01644900_118.JPEG,suspension bridge,persian cat,suspension bridge
n01644900_119.JPEG,chimpanzee,scorpion,tractor
n01644900_12.JPEG,ipod,hourglass,chimpanzee
n01644900_120.JPEG,gasmask,barrel,hourglass
n01644900_121.JPEG,tabby,torch,ipod
n01644900_122.JPEG,chimpanzee,barrel,ipod
n01644900_123.JPEG,gasmask,chimpanzee,scorpion
n01644900_124.JPEG,suspension bridge,tractor,ipod
n01644900_125.JPEG,chimpanzee,bannister,tractor
n01644900_126.JPEG,ipod,tabby,ipod
n01644900_127.JPEG,chimpanzee,barrel,hourglass
n01644900_128.JPEG,tractor,barrel,hourglass
n01644900_129.JPEG,barrel,tractor,ipod
n01644900_13.JPEG,barrel,american lobster,tractor
n01644900_130.JPEG,ipod,bannister,chimpanzee
n01644900_131.JPEG,barrel,ipod,scoreboard
n01644900_132.JPEG,tractor,gasmask,bannister
n01644900_133.JPEG,torch,chimpanzee,hourglass
n01644900_134.JPEG,hourglass,ipod,tabby
n01644900_135.JPEG,chimpanzee,barrel,chimpanzee
n01644900_136.JPEG,suspension bridge,snorkel,bannister
n01644900_137.JPEG,suspension bridge,bannister,tabby
n01644900_138.JPEG,chimpanzee,gasmask,tractor
n01644900_139.JPEG,ipod,hourglass,gazelle
n01644900_14.JPEG,gazelle,suspension bridge,ipod
n01644900_140.JPEG,ipod,tabby,bannister
n01644900_141.JPEG,ipod,american lobster,ipod
n01644900_142.JPEG,torch,tabby,hourglass
n01644900_143.JPEG,tractor,torch,ipod
n01644900_144.JPEG,triumphal arch,ipod,tractor
n01644900_145.JPEG,hourglass,persian cat,tractor
n01644900_146.JPEG,triumphal arch,hourglass,hourglass
n01644900_147.JPEG,hourglass,suspension bridge,torch
n01644900_148.JPEG,gazelle,triumphal arch,gazelle
n01644900_149.JPEG,chimpanzee,tractor,christmas stocking
n01644900_15.JPEG,chimpanzee,tractor,scoreboard
n01644900_150.JPEG,ipod,scorpion,bannister
n01644900_151.JPEG,triumphal arch,hourglass,triumphal arch
n01644900_152.JPEG,barrel,triumphal arch,suspension bridge
n01644900_153.JPEG,hourglass,tractor,gazelle
n01644900_154.JPEG,tractor,suspension bridge,ipod
n01644900_155.JPEG,ipod,tractor,gasmask
n01644900_156.JPEG,hourglass,snail,torch
n01644900_157.JPEG,hourglass,hourglass,tractor
n01644900_158.JPEG,chimpanzee,suspension bridge,bannister
n01644900_159.JPEG,gazelle,gazelle,gazelle
n01644900_16.JPEG,barrel,ipod,hourglass
n01644900_160.JPEG,ipod,chimpanzee,tractor
n01644900_161.JPEG,barrel,tractor,gazelle
n01644900_162.JPEG,barrel,hourglass,gazelle
n01644900_163.JPEG,scoreboard,scoreboard,gasmask
n01644900_164.JPEG,hourglass,suspension bridge,chimpanzee
n01644900_165.JPEG,chimpanzee,barrel,gasmask
n01644900_166.JPEG,torch,suspension bridge,snorkel
n01644900_167.JPEG,gasmask,ipod,tractor
n01644900_168.JPEG,hourglass,ipod,hourglass
n01644900_169.JPEG,ipod,tractor,christmas stocking
n01644900_17.JPEG,ipod,tabby,bannister
